race,gender,age_range,img1,img2,d_clean,baseline_same,d_fgsm_001,fgsm_same_001,fgsm_success_001,d_fgsm_003,fgsm_same_003,fgsm_success_003,d_fgsm_005,fgsm_same_005,fgsm_success_005,d_pgd_001,pgd_same_001,pgd_success_001,d_pgd_003,pgd_same_003,pgd_success_003,d_pgd_005,pgd_same_005,pgd_success_005,d_cw,cw_same,cw_success
Black,Female,0-2,Black\Black_Female_0-2_005.jpg,Black\Black_Female_0-2_006.jpg,1.3347346782684326,False,1.0831948518753052,False,False,0.9069878458976746,True,True,0.8591699004173279,True,True,1.0057622194290161,False,False,0.6025633215904236,True,True,0.5238894820213318,True,True,0.9912727475166321,True,True
Black,Female,0-2,Black\Black_Female_0-2_007.jpg,Black\Black_Female_0-2_008.jpg,1.1284213066101074,False,0.8558779358863831,True,True,0.8351231217384338,True,True,0.8640466928482056,True,True,0.7389940619468689,True,True,0.5242518186569214,True,True,0.4726124405860901,True,True,0.7645927667617798,True,True
Black,Female,10-19,Black\Black_Female_10-19_025.jpg,Black\Black_Female_10-19_026.jpg,1.030132532119751,False,0.8684793710708618,True,True,0.7262824773788452,True,True,0.6934486031532288,True,True,0.8427281975746155,True,True,0.5442583560943604,True,True,0.4219847321510315,True,True,0.8457173705101013,True,True
Black,Female,10-19,Black\Black_Female_10-19_027.jpg,Black\Black_Female_10-19_028.jpg,1.2812105417251587,False,1.129889726638794,False,False,0.9659754633903503,True,True,0.9000239372253418,True,True,1.0596718788146973,False,False,0.7042410969734192,True,True,0.5524011254310608,True,True,1.0732667446136475,False,False
Black,Female,20-29,Black\Black_Female_20-29_035.jpg,Black\Black_Female_20-29_036.jpg,1.0516018867492676,False,0.8850411772727966,True,True,0.8135402798652649,True,True,0.8081071972846985,True,True,0.7948175072669983,True,True,0.5421627163887024,True,True,0.46179571747779846,True,True,0.7924531102180481,True,True
Black,Female,20-29,Black\Black_Female_20-29_037.jpg,Black\Black_Female_20-29_038.jpg,1.11661696434021,False,0.976502001285553,True,True,0.8576610684394836,True,True,0.8283894062042236,True,True,0.9420467615127563,True,True,0.6392822861671448,True,True,0.5083695650100708,True,True,0.939390242099762,True,True
Black,Female,3-9,Black\Black_Female_3-9_015.jpg,Black\Black_Female_3-9_016.jpg,1.0545945167541504,False,0.9106935858726501,True,True,0.7739653587341309,True,True,0.73575359582901,True,True,0.8854353427886963,True,True,0.5765138268470764,True,True,0.3792476952075958,True,True,0.8837062120437622,True,True
Black,Female,3-9,Black\Black_Female_3-9_017.jpg,Black\Black_Female_3-9_018.jpg,0.9189440608024597,True,0.7711281180381775,True,False,0.6179580688476562,True,False,0.5553337335586548,True,False,0.7486741542816162,True,False,0.48131611943244934,True,False,0.3748089671134949,True,False,0.7566085457801819,True,False
Black,Female,30-39,Black\Black_Female_30-39_045.jpg,Black\Black_Female_30-39_046.jpg,1.2693359851837158,False,1.0615267753601074,False,False,0.922581672668457,True,True,0.8814607858657837,True,True,0.9803900718688965,True,True,0.5100484490394592,True,True,0.35049688816070557,True,True,1.0020091533660889,False,False
Black,Female,30-39,Black\Black_Female_30-39_047.jpg,Black\Black_Female_30-39_048.jpg,1.111646056175232,False,0.9768528342247009,True,True,0.8180299401283264,True,True,0.7511968016624451,True,True,0.9617963433265686,True,True,0.6594256162643433,True,True,0.45467570424079895,True,True,0.9614413976669312,True,True
Black,Female,40-49,Black\Black_Female_40-49_055.jpg,Black\Black_Female_40-49_056.jpg,1.2213962078094482,False,1.127972960472107,False,False,1.0257941484451294,False,False,0.9715145230293274,True,True,1.1137409210205078,False,False,0.9324640035629272,True,True,0.7773097157478333,True,True,1.1262818574905396,False,False
Black,Female,40-49,Black\Black_Female_40-49_057.jpg,Black\Black_Female_40-49_058.jpg,1.032031774520874,False,0.886458694934845,True,True,0.7434533834457397,True,True,0.6957672834396362,True,True,0.8526647090911865,True,True,0.6016077995300293,True,True,0.4985872507095337,True,True,0.8288882970809937,True,True
Black,Female,50-59,Black\Black_Female_50-59_065.jpg,Black\Black_Female_50-59_066.jpg,1.3325676918029785,False,1.1476995944976807,False,False,0.9529507160186768,True,True,0.901803731918335,True,True,1.0258293151855469,False,False,0.6727254390716553,True,True,0.5833572149276733,True,True,1.0695888996124268,False,False
Black,Female,50-59,Black\Black_Female_50-59_067.jpg,Black\Black_Female_50-59_068.jpg,1.0453040599822998,False,0.8851022124290466,True,True,0.7379634380340576,True,True,0.6987967491149902,True,True,0.8482396602630615,True,True,0.5107429027557373,True,True,0.4297664165496826,True,True,0.8520199060440063,True,True
Black,Female,60-69,Black\Black_Female_60-69_075.jpg,Black\Black_Female_60-69_076.jpg,1.0875580310821533,False,0.8105798363685608,True,True,0.6358058452606201,True,True,0.623695433139801,True,True,0.7397615313529968,True,True,0.3585124611854553,True,True,0.34224826097488403,True,True,0.7384927272796631,True,True
